,steam_appid,categories,genres,header_image,short_description,meta,name,developer,publisher,positive,negative,userscore,price,ccu
2599,675690.0,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases']",Action,https://cdn.akamai.steamstatic.com/steam/apps/675690/header.jpg?t=1618317256,Compete in hardcore PvP strategy in persistent game worlds where real time resource and troop management in coordination with other players is required to expand your kingdom from one village to hundreds as you conquer the map in this winner takes all medieval contest.,,Tribal Wars,InnoGames,InnoGames,346,117,0,0.0,52
2600,593280.0,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/593280/header.jpg?t=1644403367,"The multi award-winning Action RPG. Some say 'Diablo with Cats' others a 'Super-cute Skyrim', whatever your take, Cat Quest's loot-fuelled cat-venture is as beautifully crafted, as its combat and magic are ultra-satisfying. Universally adored by critics - it'll have you purring for joy!",79.0,Cat Quest,The Gentlebros,PQube,6164,306,0,1299.0,52
2601,846030.0,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",Action,https://cdn.akamai.steamstatic.com/steam/apps/846030/header.jpg?t=1656484814,"A physics-based mining sim, set in the thickest debris field in Sol. Every action has a reaction, lasers are invisible without a medium, and your thrust is a potent weapon. Find trade, adapt your equipment to your playstyle, hire a crew to help. Unravel the mysteries of the rings, or just get rich.",,ΔV: Rings of Saturn,Kodera Software,"Kodera Software, Kurki.games",855,42,0,579.0,52
2602,1541020.0,"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'In-App Purchases']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/1541020/header.jpg?t=1656636301,Kakele Online - MMORPG is a 2D MMORPG! It is an old style multiplayer open world nostalgic and classic 2D pixel real time role playing game. Play on Mobile and PC! NO pay to win! NO ads! Play for FREE!,,Kakele Online - MMORPG,ViVa Games,ViVa Games,74,12,0,0.0,51
2603,539750.0,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/539750/header.jpg?t=1631467632,Kombine is a minimalist puzzle game played on a grid. The goal is to remove all of the blocks that have borders by matching three or more of the same blocks together.,,Kombine,Robert Alvarez,Robert Alvarez,81,22,0,99.0,51
2604,1058830.0,"['Single-player', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1058830/header.jpg?t=1653382180,"Enter the Rhythm Dimension. Match colours and beats as you spin, tap, flick and flow through the juiciest beats in the universe.",,Spin Rhythm XD,Super Spin Digital,Super Spin Digital,2369,77,0,1339.0,51
2605,208480.0,"['Single-player', 'Multi-player', 'Partial Controller Support']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/208480/header.jpg?t=1553879116,"The American Colonies, 1775. As a Native American assassin fights to protect his land and people, he will ignite the flames of a young nation’s revolution.",80.0,Assassin’s Creed III,Ubisoft Montreal,Ubisoft,10343,3567,0,0.0,51
2606,1069690.0,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/1069690/header.jpg?t=1649237056,"A dark fantasy roguelike where you play as the Devil! Lead famous evil geniuses through events and turn-based fights to spread terror and corruption. Create synergies between your disciples, use your evil powers and take revenge on those miserable Demon Hunters.",,Rogue Lords,"Leikir Studio, Cyanide Studio",Nacon,913,315,0,1499.0,51
2607,233130.0,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/233130/header.jpg?t=1627918119,Shadow Warrior is a bold reimagining of the classic 3D Realms’ shooter from independent developer Flying Wild Hog (Hard Reset) starring the legendary and quick-witted warrior Lo Wang.,73.0,Shadow Warrior,Flying Wild Hog,Devolver Digital,22270,1782,0,3999.0,51
2608,1638220.0,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",RPG,https://cdn.akamai.steamstatic.com/steam/apps/1638220/header.jpg?t=1629353153,*** This Game is only available in Chinese *** 《轩辕剑参外传 天之痕》是大宇资讯DOMO小组所制作的回合制角色扮演游戏，融合历史、神话、五行等要素，以妙趣横生的战斗系统、别具一格的水墨画风，呈现出一个跌宕起伏、百转千回的隋末传奇故事。,,軒轅劍參外傳 天之痕,"DOMO Studio, SOFTSTAR ENTERTAINMENT",SOFTSTAR ENTERTAINMENT,1223,85,0,999.0,51
2609,423230.0,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/423230/header.jpg?t=1651660106,"The jailer is the key, kill him and you’ll be free.",76.0,Furi,The Game Bakers,The Game Bakers,8861,888,0,1999.0,51
2610,446640.0,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/446640/header.jpg?t=1631958955,"Locked away in the most secure prison in the galaxy, with little hope of escape, Gail Pilgrim faces the most difficult ordeals of her life. Her only hope lies in trusting those who she has come to regard as her friends.",,Space Pilgrim Episode IV: Sol,"Pilgrim Adventures, GrabTheGames Studios",GrabTheGames,287,36,0,113.0,51
2611,979560.0,"['Steam Workshop', 'Steam Cloud', 'Includes level editor']",Animation & Modeling,https://cdn.akamai.steamstatic.com/steam/apps/979560/header.jpg?t=1578218734,"RainWallpaper is a powerful customizable live wallpaper engine that allows you to easily create wallpapers containing videos, web pages, clocks, weather, text, images, etc. via the built-in WYSIWYG visual designer with minimal CPU and RAM usage. You are only limited by your imagination and creativity.",,RainWallpaper,RainySoft,RainySoft,334,200,0,279.0,51
2612,855860.0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Workshop', 'Includes level editor', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/855860/header.jpg?t=1601213799,"Superfighters Deluxe is a unique action game that combines brawling, shooting and platforming in dynamic sandboxy 2D levels. Lots of weapons and fun gameplay systems interlock to create absurd action-movie chaos.",,Superfighters Deluxe,MythoLogic Interactive,MythoLogic Interactive,2076,230,0,999.0,51
2613,628080.0,"['Single-player', 'Steam Cloud']",Strategy,https://cdn.akamai.steamstatic.com/steam/apps/628080/header.jpg?t=1655182960,"&quot;Romance of the Three Kingdoms 12 with Power Up Kit&quot; is an expanded version of &quot;Romance of the Three Kingdoms 12,&quot; which was released in 2012 as the 12th game in the series. The stage is set. Create the story.",,Romance of the Three Kingdoms XII with Power Up Kit,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",144,58,0,3999.0,51
2614,821250.0,"['Single-player', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/821250/header.jpg?t=1650551756,The floating garbage town survival game! Scavenge what precious garbage you can from the ocean's surface and grow your city while doing your best to survive in this colorful post-apocalyptic world.,,Flotsam,Pajama Llama Games,Pajama Llama Games,1676,546,0,2499.0,51
2615,1007400.0,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1007400/header.jpg?t=1655832496,Meet the completely reworked legendary game loved by millions of players worldwide! Alien Shooter 2 - the Legend is an ambitious follow-up to the famous Alien Shooter series.,,Alien Shooter 2 - The Legend,Sigma Team Inc.,Sigma Team Inc.,440,418,0,1499.0,51
2616,248610.0,"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/248610/header.jpg?t=1638399985,Door Kickers is an innovative realtime strategy game that puts you in charge of a SWAT team and lets you command them during a tactical intervention.,83.0,Door Kickers,KillHouse Games,KillHouse Games,8637,489,0,1999.0,51
2617,1082450.0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Partial Controller Support', 'Steam Cloud']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/1082450/header.jpg?t=1654976288,"Have you always dreamed of searching for gold? Then start your own adventure now - alone or together with friends. Explore a huge map and dig for gold using a variety of methods, vehicles and wash plants.",,Gold Hunter,eXtreme Studios,eXtreme Studios,152,139,0,3499.0,51
2618,1897250.0,"['Single-player', 'Steam Cloud']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/1897250/header.jpg?t=1657197638,Are you worthy of the throne? Or do your siblings deserve it more than you do? What kind of heir will you be?,,The Sword of Rhivenia,Hosted Games,Hosted Games,22,9,0,699.0,50
2619,533540.0,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud']",Casual,https://cdn.akamai.steamstatic.com/steam/apps/533540/header.jpg?t=1656373119,You are an up and coming summoner and a lover of monster girls. Earn money to gather up summoning materialsand summon monster girls!,,MONMUSU,Tentacle Games,NEKO WORKs,4025,1012,0,0.0,50
2620,1097130.0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Remote Play on TV', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/1097130/header.jpg?t=1653783720,"Circuit Superstars is a top-down racer built by racing fans, for racing fans. Celebrating generations of racing, focusing on driving that feels great – but with a high skill ceiling, that will have players spending hours honing their perfect lap.",82.0,Circuit Superstars,Original Fire Games,Square Enix,1265,171,0,1999.0,50
2621,8850.0,"['Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Remote Play on TV']",Action,https://cdn.akamai.steamstatic.com/steam/apps/8850/header.jpg?t=1568765660,"Set approximately 10 years after the events of the original BioShock, the halls of Rapture once again echo with sins of the past. Along the Atlantic coastline, a monster has been snatching little girls and bringing them back to the undersea city of Rapture.",88.0,BioShock 2,"2K Marin, 2K China, Digital Extremes, 2K Australia",2K,11366,1315,0,1999.0,50
2622,557600.0,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",Adventure,https://cdn.akamai.steamstatic.com/steam/apps/557600/header.jpg?t=1629751597,"Gorogoa is an elegant evolution of the puzzle genre, told through a beautifully hand-drawn story designed and illustrated by Jason Roberts. Winner of Debut Game at the 2018 BAFTA Games Awards, as well as Best Mobile Game and the Innovation Award at the GDC 2018 Choice Awards.",84.0,Gorogoa,Buried Signal,Annapurna Interactive,11419,297,0,1499.0,50
2623,257850.0,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together']",Action,https://cdn.akamai.steamstatic.com/steam/apps/257850/header.jpg?t=1649868127,"Explore a beautiful, vast and ruined world riddled with dangers and lost technologies.",84.0,Hyper Light Drifter,Heart Machine,Heart Machine,14185,942,0,1999.0,50
2624,235320.0,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Captions available', 'Steam Cloud']",Indie,https://cdn.akamai.steamstatic.com/steam/apps/235320/header.jpg?t=1613640567,"An American geological expedition, under a UN mandate, assesses the natural resources in a distant part of Siberia, deep in the trackless steppes of Eastern Russia. But instead of oil, they discover a deposit of a hitherto unknown mineral.",61.0,Original War,Altar Games,Bohemia Interactive,1602,91,0,499.0,50
